iter	Passed	Remaining
0	0	95
1	1	83
2	2	82
3	3	77
4	4	81
5	5	79
6	5	78
7	6	77
8	7	76
9	8	74
10	9	73
11	9	71
12	10	70
13	11	69
14	11	67
15	12	65
16	13	64
17	14	64
18	15	63
19	15	63
20	16	62
21	17	61
22	18	60
23	18	59
24	19	59
25	20	58
26	21	57
27	22	57
28	23	56
29	24	56
30	25	56
31	26	55
32	26	54
33	27	54
34	28	53
35	29	52
36	30	52
37	31	51
38	32	50
39	33	49
40	34	49
41	34	47
42	35	46
43	36	46
44	37	45
45	38	44
46	38	43
47	39	43
48	40	42
49	41	41
50	42	40
51	43	39
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	35
58	49	34
59	50	33
60	51	32
61	51	31
62	52	31
63	53	30
64	54	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	66	18
78	67	18
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	75	10
88	76	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	83	3
96	84	2
97	85	1
98	86	0
99	87	0
